park_id,state,national_park,visitation_2022,total_recreation_visitor_hours_2022,visitation_2021,total_recreation_visitor_hours_2021,visitation_2020,total_recreation_visitor_hours_2020
1,Alabama,Horseshoe Bend NMP,67773,201427,58285,174275,28600,105461
2,Alabama,Little River Canyon NPRES,726239,1638667,862606,2218097,802375,2025934
3,Alabama,Natchez Trace PKWY,458046,1848841,448094,1805344,428736,1720966
4,Alabama,Russell Cave NM,16988,18711,22393,23170,8462,12894
5,Alabama,Tuskegee Airmen NHS,16137,24202,8057,12084,6843,10264
6,Alabama,Tuskegee Institute NHS,9769,4884,5629,2814,4737,6401
7,Alaska,Aniakchak NM & PRES,179,9633,145,9175,36,5168
8,Alaska,Bering Land Bridge NPRES,2642,34878,2642,34878,2642,34878
9,Alaska,Cape Krusenstern NM,17403,199255,12162,154422,11369,146695
10,Alaska,Denali NP & PRES,427562,5350801,229521,3398006,54850,935054
11,Alaska,Gates of the Arctic NP & PRES,9457,100785,7362,42489,2872,27355
12,Alaska,Glacier Bay NP & PRES,545758,7016261,89768,1607101,5748,236016
13,Alaska,Katmai NP & PRES,33908,595910,24764,409210,51511,543503
14,Alaska,Kenai Fjords NP,389943,1368552,411782,1429873,115882,339234
15,Alaska,Klondike Gold Rush NHP Alaska,342909,405438,33228,185848,297,5239
16,Alaska,Kobuk Valley NP,16925,240548,11540,170096,11185,161626
17,Alaska,Lake Clark NP & PRES,18187,162918,18278,172802,4948,76952
18,Alaska,Noatak NPRES,18393,412233,12891,298200,12533,284102
19,Alaska,Sitka NHP,134451,81152,96793,65763,115494,86135
20,Alaska,Wrangell-St. Elias NP & PRES,65236,3000860,50189,2308685,16655,766112
21,Alaska,Yukon-Charley Rivers NPRES,744,30888,629,57370,666,45228
22,American Samoa,National Park of American Samoa,1887,3771,8495,16990,4819,9640
23,Arizona,Canyon de Chelly NM,354972,2441861,184191,1252165,76752,531822
24,Arizona,Casa Grande Ruins NM,78557,107003,49261,67100,44269,58986
25,Arizona,Chiricahua NM,61377,423459,53413,341885,44794,234848
26,Arizona,Coronado NMEM,131359,143393,129758,154402,156199,169970
27,Arizona,Fort Bowie NHS,7913,15826,9280,18560,6456,12912
28,Arizona,Glen Canyon NRA,874814,4086150,749392,4340579,357804,2598777
29,Arizona,Grand Canyon NP,4732101,74184926,4532677,71129791,2897098,44808278
30,Arizona,Hubbell Trading Post NHS,50017,25842,21256,10982,11407,5894
31,Arizona,Lake Mead NRA,1394555,10703578,1900868,13552882,2004127,14406287
32,Arizona,Montezuma Castle NM,364014,364014,418147,418147,242028,242028
33,Arizona,Navajo NM,41118,119485,14834,43355,3985,10366
34,Arizona,Organ Pipe Cactus NM,133317,809793,190848,790482,191512,739467
35,Arizona,Petrified Forest NP,505209,1281126,590334,1452533,384483,941984
36,Arizona,Pipe Spring NM,23001,34501,24026,36037,10623,15933
37,Arizona,Saguaro NP,908194,1650326,1079786,1553872,762226,834920
38,Arizona,Sunset Crater Volcano NM,54787,77776,125653,188480,83669,121713
39,Arizona,Tonto NM,31504,55882,32334,55613,24756,40266
40,Arizona,Tumacacori NHP,38786,62629,33357,50234,23726,35689
41,Arizona,Tuzigoot NM,116639,116639,124406,124406,78358,78358
42,Arizona,Walnut Canyon NM,179396,233216,212328,276028,107422,139648
43,Arizona,Wupatki NM,194448,777797,207445,433779,146074,292149
44,Arkansas,Arkansas Post NMEM,22791,34183,26043,39065,29653,44479
45,Arkansas,Buffalo NR,1306932,7376537,1515874,8438972,1478846,7726860
46,Arkansas,Fort Smith NHS,123229,163893,99854,53922,67574,33107
47,Arkansas,Hot Springs NP,2646133,7501578,2162884,6189943,1348215,4059569
48,Arkansas,Little Rock Central High School NHS,92108,92108,84839,84839,68497,68497
49,Arkansas,Pea Ridge NMP,81992,163989,82854,165713,80455,160907
50,Arkansas,President W.J. Clinton Birthplace Home NHS,6078,6078,7279,7279,4055,4055
51,California,Cabrillo NM,768076,1149321,683613,1025096,523878,785237
52,California,Cesar E. Chavez NM,11585,5793,9164,4581,5668,2834
53,California,Channel Islands NP,323245,4624988,319252,4908487,167290,3091790
54,California,Death Valley NP,1108558,8545917,1125468,8619626,809191,6381470
55,California,Devils Postpile NM,144453,505589,145387,508851,108590,380064
56,California,Eugene O'Neill NHS,18754,15107,22714,13874,14423,8163
57,California,Fort Point NHS,955454,538717,947238,517071,884538,460713
58,California,Golden Gate NRA,15638911,41176537,13712614,37463422,12400045,32111346
59,California,John Muir NHS,38878,58316,36904,55357,33603,50404
60,California,Joshua Tree NP,3058294,18387207,3064400,17408721,2399542,13722846
61,California,Kings Canyon NP,640986,21307944,562918,18024668,415077,13526039
62,California,Lassen Volcanic NP,446291,4845030,359635,3753786,542274,5950506
63,California,Lava Beds NM,130969,420230,103946,333497,111258,330998
64,California,Manzanar NHS,116843,175264,117113,175670,65289,97933
65,California,Mojave NPRES,773463,4680567,866635,5258191,608633,3664289
66,California,Muir Woods NM,798625,1064567,657722,876743,324232,432203
67,California,Pinnacles NP,275023,1686973,348857,1980639,165740,1174710
68,California,Point Reyes NS,2336202,11236008,2738098,12925326,2252424,9810775
69,California,Port Chicago Naval Magazine NMEM,1129,2258,568,1136,70,140
70,California,Redwood NP,458400,1982388,435879,1795847,265177,1152794
71,California,Rosie The Riveter WWII Home Front NHP,37359,112077,19038,57114,9528,28584
72,California,San Francisco Maritime NHP,3034750,3046030,2827885,2833716,1936101,1930915
73,California,Santa Monica Mountains NRA,795217,1474343,830451,1550394,733576,1469894
74,California,Sequoia NP,1153198,36729198,1059548,31682024,796086,24650105
75,California,Whiskeytown NRA,1505134,4379338,816608,2429929,805295,2703000
76,California,Yosemite NP,3667550,56964329,3287595,46271187,2268313,25583263
77,Colorado,Bent's Old Fort NHS,26057,45598,21585,37773,12438,21767
