State,National Park,Visitation,Total Recreation Visitor Hours
Alabama,Horseshoe Bend NMP,"67,773","201,427"
Alabama,Little River Canyon NPRES,"726,239","1,638,667"
Alabama,Natchez Trace PKWY,"458,046","1,848,841"
Alabama,Russell Cave NM,"16,988","18,711"
Alabama,Tuskegee Airmen NHS,"16,137","24,202"
Alabama,Tuskegee Institute NHS,"9,769","4,884"
Alaska,Alagnak Wild River,184,"12,528"
Alaska,Aniakchak NM & PRES,179,"9,633"
Alaska,Bering Land Bridge NPRES,"2,642","34,878"
Alaska,Cape Krusenstern NM,"17,403","199,255"
Alaska,Denali NP & PRES,"427,562","5,350,801"
Alaska,Gates of the Arctic NP & PRES,"9,457","100,785"
Alaska,Glacier Bay NP & PRES,"545,758","7,016,261"
Alaska,Katmai NP & PRES,"33,908","595,910"
Alaska,Kenai Fjords NP,"389,943","1,368,552"
Alaska,Klondike Gold Rush NHP Alaska,"342,909","405,438"
Alaska,Kobuk Valley NP,"16,925","240,548"
Alaska,Lake Clark NP & PRES,"18,187","162,918"
Alaska,Noatak NPRES,"18,393","412,233"
Alaska,Sitka NHP,"134,451","81,152"
Alaska,Wrangell-St. Elias NP & PRES,"65,236","3,000,860"
Alaska,Yukon-Charley Rivers NPRES,744,"30,888"
American Samoa,National Park of American Samoa,"1,887","3,771"
Arizona,Canyon de Chelly NM,"354,972","2,441,861"
Arizona,Casa Grande Ruins NM,"78,557","107,003"
Arizona,Chiricahua NM,"61,377","423,459"
Arizona,Coronado NMEM,"131,359","143,393"
Arizona,Fort Bowie NHS,"7,913","15,826"
Arizona,Glen Canyon NRA,"874,814","4,086,150"
Arizona,Grand Canyon NP,"4,732,101","74,184,926"
Arizona,Hubbell Trading Post NHS,"50,017","25,842"
Arizona,Lake Mead NRA,"1,394,555","10,703,578"
Arizona,Montezuma Castle NM,"364,014","364,014"
Arizona,Navajo NM,"41,118","119,485"
Arizona,Organ Pipe Cactus NM,"133,317","809,793"
Arizona,Petrified Forest NP,"505,209","1,281,126"
Arizona,Pipe Spring NM,"23,001","34,501"
Arizona,Saguaro NP,"908,194","1,650,326"
Arizona,Sunset Crater Volcano NM,"54,787","77,776"
Arizona,Tonto NM,"31,504","55,882"
Arizona,Tumacacori NHP,"38,786","62,629"
Arizona,Tuzigoot NM,"116,639","116,639"
Arizona,Walnut Canyon NM,"179,396","233,216"
Arizona,Wupatki NM,"194,448","777,797"
Arkansas,Arkansas Post NMEM,"22,791","34,183"
Arkansas,Buffalo NR,"1,306,932","7,376,537"
Arkansas,Fort Smith NHS,"123,229","163,893"
Arkansas,Hot Springs NP,"2,646,133","7,501,578"
